subject,scan,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
S01,scan13,3,129,0.362035484703876,0.34355240390177916,0.3195479,0.3202645192285714,0.39835608453480004,1.7763568e-15,1.3860675,1.3860674999999982,0.7466760247944052,-0.30284410567704834,0.030248102538566825
S01,scan13,4,129,0.006647765104651163,0.005167917899001823,0.0048978086,0.005734279286666667,0.0032676683394599997,2.7755576e-17,0.027089451,0.027089450999999973,1.7562478980888063,3.054158088077992,4.5500979979925686e-4
S01,scan13,5,129,0.0014496014847286821,6.443703276233993e-4,0.0014344249,0.001470897128952381,7.8979992315e-4,3.469447e-18,0.0026604385,0.0026604384999999965,-0.13813021619339402,-0.941514126649913,5.6733643896536113e-5
S01,scan13,6,129,7.378102633088372e-4,4.406184760265424e-4,7.0710437e-4,7.280873340952381e-4,5.63225373606e-4,9.6296497e-35,0.0020437259,0.0020437259,0.3016948013909256,-0.5477594633130236,3.879429365613844e-5
S01,scan2,1,129,0.01991749207503876,0.017964935871377322,0.015815787,0.017480309753333333,0.012817882051799998,0,0.15119481,0.15119481,3.5362676996633846,20.946805634955393,0.0015817244070035874
S01,scan2,2,129,0.11298657080465116,0.05273495529882242,0.11954395,0.11308551630476191,0.04896768344999999,0,0.34402979,0.34402979,0.5371074937655973,2.350670558981368,0.004643053918788945
S01,scan2,3,129,0.045073198109224846,0.042413356994495915,0.040225137,0.03948059307238095,0.031402740070799996,5.3290705e-15,0.3765131,0.37651309999999466,3.9984976646062664,26.922033710037912,0.0037342878606116165
S01,scan2,4,129,0.0016951733198759692,0.001478429139862433,0.0016313184,0.0016058597263809524,9.364743121020001e-4,2.7755576e-17,0.015404888,0.015404887999999973,6.110678596773986,54.58307293320795,1.3016842761300916e-4
S01,scan2,5,129,0.0011238224257596899,5.820842708220373e-4,0.001104576,0.0010936513655238095,5.736594528000002e-4,3.469447e-18,0.0031660365,0.0031660364999999964,0.5596359453365893,0.4922759191412416,5.124966238031526e-5
S01,scan2,6,129,0.0018190271511782947,8.651397944621301e-4,0.0018515895,0.0018559346285714285,0.0010925992530600001,9.6296497e-35,0.0031377209,0.0031377209,-0.15098275250105753,-1.1916985148374728,7.617131161325464e-5
S01,scan3,1,129,0.03060028814064341,0.024013891192970614,0.026175308,0.028181846054285715,0.0243974521056,0,0.11073352,0.11073352,0.9024043892154526,0.44103936138310074,0.0021143052265255894
S01,scan3,2,129,0.08632774150674419,0.05737320732343786,0.071793387,0.08092058921904761,0.05144976786179999,0,0.27558057,0.27558057,0.8352482629486415,0.12485889142094031,0.005051429238672878
