Sub,Scan,Inv,Percept,Cond,F
S01,2,16,red,RplSM,29018.2068838768
S01,2,17,red,RplSM,29510.802181094
S01,2,18,red,RplSM,29416.0002937705
S01,3,1,red,RplSM,19530.2798132439
S01,3,2,red,RplSM,29458.5252676318
S01,3,3,red,RplSM,18881.0571558389
S01,3,4,red,RplSM,18946.1563858339
S01,3,5,red,RplSM,28739.0959880874
S01,3,6,red,RplSM,19569.5257729261
S01,3,7,red,RplSM,5211.50815225442
S01,3,8,red,RplSM,5108.39346342288
S01,3,9,red,RplSM,15753.2860361946
S01,3,10,red,RplSM,14500.025299946
S01,3,11,red,RplSM,8502.37614013689
S01,3,12,red,RplSM,8397.10550937125
S01,3,13,red,RplSM,6149.90586210336
S01,3,14,red,RplSM,6117.49366864123
S01,3,15,red,RplSM,21419.9827329718
S01,3,16,red,RplSM,20872.165389034
S01,3,17,red,RplSM,26939.072095305
S01,3,18,red,RplSM,26759.0731734205
S01,4,1,red,RplSM,19843.1111380297
S01,4,2,red,RplSM,29250.8510232114
S01,4,3,red,RplSM,18970.2847669232
S01,4,4,red,RplSM,19026.9125213704
S01,4,5,red,RplSM,28288.9136476387
S01,4,6,red,RplSM,19867.6447945038
S01,4,7,red,RplSM,4243.81304038354
S01,4,8,red,RplSM,4116.89231871261
S01,4,9,red,RplSM,14419.5024292158
S01,4,10,red,RplSM,13177.1633023435
S01,4,11,red,RplSM,7217.74846742391
S01,4,12,red,RplSM,7006.59439925266
S01,4,13,red,RplSM,6279.11942281865
S01,4,14,red,RplSM,6236.23791278398
S01,4,15,red,RplSM,30152.0147947445
S01,4,16,red,RplSM,30077.6638494477
S01,4,17,red,RplSM,32038.9250214704
S01,4,18,red,RplSM,31121.4104754362
S01,5,1,red,RplSM,29606.5273702292
S01,5,2,red,RplSM,36613.4735044816
S01,5,3,red,RplSM,28661.6224104719
S01,5,4,red,RplSM,28802.2955076437
S01,5,5,red,RplSM,35730.0568150812
S01,5,6,red,RplSM,29631.3033707333
S01,5,7,red,RplSM,6576.3194407192
S01,5,8,red,RplSM,6378.30363653435
S01,5,9,red,RplSM,19228.0900476931
S01,5,10,red,RplSM,18195.1454735531
S01,5,11,red,RplSM,8660.01206149643
S01,5,12,red,RplSM,8479.73781267833
S01,5,13,red,RplSM,7575.62746588969
S01,5,14,red,RplSM,7530.24207023786
S01,5,15,red,RplSM,31593.6899644776
S01,5,16,red,RplSM,31592.0651560977
S01,5,17,red,RplSM,34834.9997140623
S01,5,18,red,RplSM,34748.1695835423
S01,1,1,green,RplSM,18010.6241655392
S01,1,2,green,RplSM,26872.7249872219
S01,1,3,green,RplSM,16494.3732209795
S01,1,4,green,RplSM,16546.9419385697
S01,1,5,green,RplSM,25203.8306737485
S01,1,6,green,RplSM,18014.7145485695
S01,1,7,green,RplSM,3557.0690999878
S01,1,8,green,RplSM,3187.86210040281
S01,1,9,green,RplSM,12570.7200993528
S01,1,10,green,RplSM,11069.8864640445
S01,1,11,green,RplSM,5255.92803012417
S01,1,12,green,RplSM,5055.50011326694
S01,1,13,green,RplSM,5932.67945617894
S01,1,14,green,RplSM,5715.25281373161
S01,1,15,green,RplSM,22828.0642553225
S01,1,16,green,RplSM,22304.9624411835
S01,1,17,green,RplSM,26262.291625138
S01,1,18,green,RplSM,26067.9361878521
S01,2,1,green,RplSM,20792.0155821136
S01,2,2,green,RplSM,30327.4522243923
S01,2,3,green,RplSM,19186.1682778438
S01,2,4,green,RplSM,19241.4047763119
S01,2,5,green,RplSM,28581.8100476878
S01,2,6,green,RplSM,20799.125600183
S01,2,7,green,RplSM,4431.84083778077
S01,2,8,green,RplSM,4039.98111767478
S01,2,9,green,RplSM,14844.6324735638
S01,2,10,green,RplSM,13246.6410615165
S01,2,11,green,RplSM,6714.8771894498
S01,2,12,green,RplSM,6445.66227179103
S01,2,13,green,RplSM,6916.70526064266
S01,2,14,green,RplSM,6788.38823938632
S01,2,15,green,RplSM,30816.3136824214
S01,2,16,green,RplSM,30709.8547381583
S01,2,17,green,RplSM,31551.449445699
S01,2,18,green,RplSM,31538.4085486578
S01,3,1,green,RplSM,23358.236447531
S01,3,2,green,RplSM,32675.2790285237
S01,3,3,green,RplSM,21623.2566427207
S01,3,4,green,RplSM,21692.1162201031
S01,3,5,green,RplSM,30809.4022544001
S01,3,6,green,RplSM,23366.6826681237
S01,3,7,green,RplSM,5840.09289678124
S01,3,8,green,RplSM,5541.53561284032
S01,3,9,green,RplSM,18299.9836288036
S01,3,10,green,RplSM,16642.8999074877
S01,3,11,green,RplSM,7290.94140880727
S01,3,12,green,RplSM,6945.74021087863
S01,3,13,green,RplSM,6552.72269546103
S01,3,14,green,RplSM,6497.63726230156
S01,3,15,green,RplSM,24156.1126573582
S01,3,16,green,RplSM,23053.0722092065
S01,3,17,green,RplSM,29220.6500723112
S01,3,18,green,RplSM,28932.3782505198
S01,4,1,green,RplSM,19264.692328512
S01,4,2,green,RplSM,28257.1403884833
S01,4,3,green,RplSM,17724.9175067781
S01,4,4,green,RplSM,17777.1320385408
S01,4,5,green,RplSM,26656.7234492208
S01,4,6,green,RplSM,19281.8662493665
S01,4,7,green,RplSM,5009.43481307605
S01,4,8,green,RplSM,4666.83554698678
S01,4,9,green,RplSM,13782.0676211575
S01,4,10,green,RplSM,12198.4400159412
S01,4,11,green,RplSM,6685.08500587819
S01,4,12,green,RplSM,6317.00015374321
S01,4,13,green,RplSM,5614.29181965102
S01,4,14,green,RplSM,5568.0457117132
S01,4,15,green,RplSM,27108.4718306111
S01,4,16,green,RplSM,26999.8057532257
S01,4,17,green,RplSM,30552.1643617268
S01,4,18,green,RplSM,30467.9245451257
S01,5,1,green,RplSM,21267.2106734028
S01,5,2,green,RplSM,30477.8282650049
S01,5,3,green,RplSM,19684.9066065297
S01,5,4,green,RplSM,19758.6124222467
S01,5,5,green,RplSM,28881.8492876951
S01,5,6,green,RplSM,21281.2773915281
S01,5,7,green,RplSM,4993.50833866055
S01,5,8,green,RplSM,4685.8273609297
S01,5,9,green,RplSM,15323.372732548
S01,5,10,green,RplSM,13775.4454398392
S01,5,11,green,RplSM,8092.96942609236
S01,5,12,green,RplSM,7684.24565634839
S01,5,13,green,RplSM,6632.59895524247
S01,5,14,green,RplSM,6532.73641430971
S01,5,15,green,RplSM,27905.1868476988
S01,5,16,green,RplSM,27795.4800720052
S01,5,17,green,RplSM,28308.0603996801
S01,5,18,green,RplSM,27730.0213517576
S01,1,1,s,RplSM,34924.1369561592
S01,1,2,s,RplSM,52743.113440552
S01,1,3,s,RplSM,34845.4474241907
S01,1,4,s,RplSM,34939.1811179913
S01,1,5,s,RplSM,52698.2910581452
S01,1,6,s,RplSM,35008.9691736327
S01,1,7,s,RplSM,7078.93401513714
S01,1,8,s,RplSM,7131.32080254637
S01,1,9,s,RplSM,23424.4801863093
S01,1,10,s,RplSM,23490.639062068
S01,1,11,s,RplSM,11890.6481960086
S01,1,12,s,RplSM,10863.7050477341
S01,1,13,s,RplSM,11826.81730582
S01,1,14,s,RplSM,11659.93603093
S01,1,15,s,RplSM,45390.7267018586
S01,1,16,s,RplSM,43284.0675468405
S01,1,17,s,RplSM,54186.6150047421
S01,1,18,s,RplSM,53269.3661649735
S01,2,1,s,RplSM,38211.086967403
S01,2,2,s,RplSM,56554.2235926022
S01,2,3,s,RplSM,38111.9663285522
S01,2,4,s,RplSM,38219.2319015616
S01,2,5,s,RplSM,56509.8703316182
S01,2,6,s,RplSM,38318.8759104789
S01,2,7,s,RplSM,7984.62164270111
S01,2,8,s,RplSM,8036.7688969984
S01,2,9,s,RplSM,25299.839523155
S01,2,10,s,RplSM,25285.1260892716
S01,2,11,s,RplSM,13180.355390081
S01,2,12,s,RplSM,12314.0905766566
S01,2,13,s,RplSM,13187.3420280864
S01,2,14,s,RplSM,13131.6978450784
S01,2,15,s,RplSM,59980.8108940582
S01,2,16,s,RplSM,59977.4417367502
S01,2,17,s,RplSM,62333.4518905273
S01,2,18,s,RplSM,61856.8701905956
S01,3,1,s,RplSM,41404.4828800475
S01,3,2,s,RplSM,60438.6090895284
S01,3,3,s,RplSM,41159.01493647
S01,3,4,s,RplSM,41290.6876226486
S01,3,5,s,RplSM,60171.8642573334
S01,3,6,s,RplSM,41601.8957472421
S01,3,7,s,RplSM,10616.3964328863
S01,3,8,s,RplSM,10644.2493127774
S01,3,9,s,RplSM,31240.6773566764
S01,3,10,s,RplSM,31163.3393236772
S01,3,11,s,RplSM,16142.3463944759
S01,3,12,s,RplSM,15559.0343747221
S01,3,13,s,RplSM,12625.3414960274
S01,3,14,s,RplSM,12596.8736803889
S01,3,15,s,RplSM,47473.0845994346
S01,3,16,s,RplSM,43702.0205978593
S01,3,17,s,RplSM,56968.8041305526
S01,3,18,s,RplSM,55910.5198022003
S01,4,1,s,RplSM,37079.7774416396
S01,4,2,s,RplSM,55524.414296934
S01,4,3,s,RplSM,37090.429111797
S01,4,4,s,RplSM,37201.2645344686
S01,4,5,s,RplSM,55538.4701069082
S01,4,6,s,RplSM,37246.90139161
S01,4,7,s,RplSM,8831.88639974601
S01,4,8,s,RplSM,8871.36572846828
