Sub,Scan,Inv,Percept,Cond,F
S01,2,6,u,RplSM,67418.0691251352
S01,2,7,u,RplSM,22451.3616306869
S01,2,8,u,RplSM,20469.9903498366
S01,2,9,u,RplSM,42548.9245101074
S01,2,10,u,RplSM,35370.0580093746
S01,2,11,u,RplSM,25370.8782791102
S01,2,12,u,RplSM,22877.0896194589
S01,2,13,u,RplSM,23848.8633110432
S01,2,14,u,RplSM,23463.8465441998
S01,2,15,u,RplSM,79247.3981187148
S01,2,16,u,RplSM,79010.1470579809
S01,2,17,u,RplSM,81449.5579695804
S01,2,18,u,RplSM,80316.9479738883
S01,3,1,u,RplSM,70934.1248335134
S01,3,2,u,RplSM,89071.3306163953
S01,3,3,u,RplSM,65370.6256792123
S01,3,4,u,RplSM,65477.7052257704
S01,3,5,u,RplSM,82583.3754780568
S01,3,6,u,RplSM,70937.5319769797
S01,3,7,u,RplSM,22027.7118600105
S01,3,8,u,RplSM,20279.1211462036
S01,3,9,u,RplSM,47450.5338786809
S01,3,10,u,RplSM,41099.0167602616
S01,3,11,u,RplSM,27896.63097537
S01,3,12,u,RplSM,25377.5325848799
S01,3,13,u,RplSM,24878.2041118022
S01,3,14,u,RplSM,24499.5141492377
S01,3,15,u,RplSM,76148.915328441
S01,3,16,u,RplSM,69051.4711580886
S01,3,17,u,RplSM,81485.9989054326
S01,3,18,u,RplSM,79564.7168547364
S01,4,1,u,RplSM,79103.7967848273
S01,4,2,u,RplSM,95174.8730548937
S01,4,3,u,RplSM,72300.2468613498
S01,4,4,u,RplSM,72433.1937353685
S01,4,5,u,RplSM,87813.0128508683
S01,4,6,u,RplSM,79100.2195527198
S01,4,7,u,RplSM,24416.0600341718
S01,4,8,u,RplSM,22841.9458396303
S01,4,9,u,RplSM,49271.7534656203
S01,4,10,u,RplSM,43305.825457416
S01,4,11,u,RplSM,29259.020345485
S01,4,12,u,RplSM,26410.1726334578
S01,4,13,u,RplSM,26162.8473756093
S01,4,14,u,RplSM,25794.1791890659
S01,4,15,u,RplSM,84120.2535545288
S01,4,16,u,RplSM,83906.3076109617
S01,4,17,u,RplSM,90754.0505562956
S01,4,18,u,RplSM,90227.7415060276
S01,5,1,u,RplSM,88506.8423063529
S01,5,2,u,RplSM,101070.498434923
S01,5,3,u,RplSM,82414.7651356301
S01,5,4,u,RplSM,82646.7768079223
S01,5,5,u,RplSM,94729.8545699601
S01,5,6,u,RplSM,88547.5249114007
S01,5,7,u,RplSM,28060.4329114157
S01,5,8,u,RplSM,26115.2924599435
S01,5,9,u,RplSM,51735.9417999711
S01,5,10,u,RplSM,46797.7024206196
S01,5,11,u,RplSM,31500.7105705062
S01,5,12,u,RplSM,29424.6917151674
S01,5,13,u,RplSM,28416.9019768874
S01,5,14,u,RplSM,27878.3830712864
S01,5,15,u,RplSM,87998.9972089724
S01,5,16,u,RplSM,87642.1879118209
S01,5,17,u,RplSM,93447.3272421217
S01,5,18,u,RplSM,93136.0876064745
S01,1,1,domin,RplIN,60631.0584432691
S01,1,2,domin,RplIN,82313.905837855
S01,1,3,domin,RplIN,53100.0210488437
S01,1,4,domin,RplIN,53227.6723345292
S01,1,5,domin,RplIN,74458.6175256507
S01,1,6,domin,RplIN,60632.0999749431
S01,1,7,domin,RplIN,8705.39604452757
S01,1,8,domin,RplIN,7395.54121384521
S01,1,9,domin,RplIN,25573.1407237312
S01,1,10,domin,RplIN,20623.0976853973
S01,1,11,domin,RplIN,10944.9311608943
S01,1,12,domin,RplIN,9682.16150537224
S01,1,13,domin,RplIN,12785.1543277562
S01,1,14,domin,RplIN,12379.7909946074
S01,1,15,domin,RplIN,69536.4123125917
S01,1,16,domin,RplIN,68886.5364879304
S01,1,17,domin,RplIN,76040.837417063
S01,1,18,domin,RplIN,75994.0770837559
S01,2,1,domin,RplIN,65772.7953885845
S01,2,2,domin,RplIN,83533.2048053016
S01,2,3,domin,RplIN,58735.1000259891
S01,2,4,domin,RplIN,58882.5382258871
S01,2,5,domin,RplIN,75960.9583987235
S01,2,6,domin,RplIN,65774.9231053759
S01,2,7,domin,RplIN,10471.3343411342
S01,2,8,domin,RplIN,9241.40941985555
S01,2,9,domin,RplIN,26008.3147465626
S01,2,10,domin,RplIN,21411.9927892427
S01,2,11,domin,RplIN,10911.8636152508
S01,2,12,domin,RplIN,9541.5508752801
S01,2,13,domin,RplIN,13332.1828460225
S01,2,14,domin,RplIN,12873.3362903101
S01,2,15,domin,RplIN,75573.5647053051
S01,2,16,domin,RplIN,74937.4289268227
S01,2,17,domin,RplIN,75971.8067623126
S01,2,18,domin,RplIN,75893.2681591162
S01,1,1,u,RplIN,80118.4959557344
S01,1,2,u,RplIN,98958.4384735895
S01,1,3,u,RplIN,69389.1754761724
S01,1,4,u,RplIN,69501.5098795975
S01,1,5,u,RplIN,87858.4364204213
S01,1,6,u,RplIN,80125.3487353207
S01,1,7,u,RplIN,29955.6136834856
S01,1,8,u,RplIN,24935.5723089531
S01,1,9,u,RplIN,50547.3945271295
S01,1,10,u,RplIN,43238.5453120223
S01,1,11,u,RplIN,30714.5660382692
S01,1,12,u,RplIN,28749.2733617288
S01,1,13,u,RplIN,29151.3003668378
S01,1,14,u,RplIN,28139.783238822
S01,1,15,u,RplIN,93411.6419074138
S01,1,16,u,RplIN,88044.8042565983
S01,1,17,u,RplIN,98094.2011830729
S01,1,18,u,RplIN,96741.955830193
S01,2,1,u,RplIN,84106.3974152408
S01,2,2,u,RplIN,99321.3434057729
S01,2,3,u,RplIN,73886.2336653717
S01,2,4,u,RplIN,74040.7819363615
S01,2,5,u,RplIN,88616.2328151637
S01,2,6,u,RplIN,84140.739363114
S01,2,7,u,RplIN,26163.8042085803
S01,2,8,u,RplIN,22482.8044019681
S01,2,9,u,RplIN,50334.8924926407
S01,2,10,u,RplIN,42967.4485473857
S01,2,11,u,RplIN,30451.506822131
S01,2,12,u,RplIN,28245.2094242997
S01,2,13,u,RplIN,29446.230959782
S01,2,14,u,RplIN,28050.932995208
S01,2,15,u,RplIN,93573.0911034515
S01,2,16,u,RplIN,90368.4932531598
S01,2,17,u,RplIN,94876.9398466296
S01,2,18,u,RplIN,92932.4973153649
S02,1,1,domin,BR,39481.7198147124
S02,1,2,domin,BR,54057.6483061493
S02,1,3,domin,BR,36089.8188066358
S02,1,4,domin,BR,36132.7895460397
S02,1,5,domin,BR,50733.0114791619
S02,1,6,domin,BR,39465.0960010521
S02,1,7,domin,BR,3856.35880333561
S02,1,8,domin,BR,2173.9748018334
S02,1,9,domin,BR,14428.0303541303
S02,1,10,domin,BR,13375.4278438117
S02,1,11,domin,BR,6100.23280177347
S02,1,12,domin,BR,5448.32392417619
S02,1,13,domin,BR,8397.31616449997
S02,1,14,domin,BR,7759.97164173375
S02,1,15,domin,BR,50597.4393164644
S02,1,16,domin,BR,49685.7927614617
S02,1,17,domin,BR,43658.169308272
S02,1,18,domin,BR,43805.2992757257
S02,2,1,domin,BR,34675.3248036206
S02,2,2,domin,BR,45950.7281769984
S02,2,3,domin,BR,28711.5397694259
S02,2,4,domin,BR,28835.2588682885
S02,2,5,domin,BR,40122.9106063869
S02,2,6,domin,BR,34666.4963318315
S02,2,7,domin,BR,1909.7894590839
S02,2,8,domin,BR,90.4451548068282
S02,2,9,domin,BR,12166.9284853429
S02,2,10,domin,BR,10213.0760626046
S02,2,11,domin,BR,4332.82738629719
S02,2,12,domin,BR,3598.42384043804
S02,2,13,domin,BR,6569.86063459123
S02,2,14,domin,BR,5676.90535959659
S02,2,15,domin,BR,42332.9247269096
S02,2,16,domin,BR,41274.6152592966
S02,2,17,domin,BR,38658.3348937792
S02,2,18,domin,BR,38755.787295652
S02,3,1,domin,BR,55483.1128187519
S02,3,2,domin,BR,69821.0004434018
S02,3,3,domin,BR,48283.5717362533
S02,3,4,domin,BR,48454.8922335955
S02,3,5,domin,BR,62374.5546257196
S02,3,6,domin,BR,55470.4304519274
S02,3,7,domin,BR,7189.11180341314
S02,3,8,domin,BR,4177.81384328179
S02,3,9,domin,BR,19042.117650112
S02,3,10,domin,BR,17349.1172608494
S02,3,11,domin,BR,8188.3098324496
S02,3,12,domin,BR,7344.50518950588
S02,3,13,domin,BR,12022.6280714519
S02,3,14,domin,BR,11026.0974708937
S02,3,15,domin,BR,63555.507413182
S02,3,16,domin,BR,62215.0323615063
S02,3,17,domin,BR,53533.7891339615
S02,3,18,domin,BR,53697.3366179543
S02,4,1,domin,BR,35706.5288372974
S02,4,2,domin,BR,48067.1328874335
S02,4,3,domin,BR,29968.3133664199
S02,4,4,domin,BR,30102.0046674329
S02,4,5,domin,BR,42445.4977312787
S02,4,6,domin,BR,35710.5225320815
S02,4,7,domin,BR,3783.26041097138
S02,4,8,domin,BR,1241.50325085089
S02,4,9,domin,BR,11999.1480141932
S02,4,10,domin,BR,10688.9846261005
S02,4,11,domin,BR,4620.38470730929
S02,4,12,domin,BR,4065.06893143006
S02,4,13,domin,BR,6833.67610130095
S02,4,14,domin,BR,5799.00330407042
S02,4,15,domin,BR,42975.8324608514
S02,4,16,domin,BR,42096.9639747172
S02,4,17,domin,BR,37823.5137571131
S02,4,18,domin,BR,37924.9486960681
S02,5,1,domin,BR,31380.2767085075
S02,5,2,domin,BR,42616.4536584694
S02,5,3,domin,BR,27478.6573909629
S02,5,4,domin,BR,27598.4630276618
S02,5,5,domin,BR,39221.5273304695
S02,5,6,domin,BR,30909.2180522713
S02,5,7,domin,BR,3561.78039992091
S02,5,8,domin,BR,2176.44122321792
S02,5,9,domin,BR,9946.59894943823
S02,5,10,domin,BR,9026.40913285916
S02,5,11,domin,BR,3803.9697626639
S02,5,12,domin,BR,3259.34972910482
S02,5,13,domin,BR,5887.19521053637
S02,5,14,domin,BR,4728.35947942775
S02,5,15,domin,BR,39078.1081507759
S02,5,16,domin,BR,37661.3168770346
S02,5,17,domin,BR,37415.8177607812
S02,5,18,domin,BR,37475.2956691979
S02,6,1,domin,BR,31558.9646210259
S02,6,2,domin,BR,43350.6483705561
S02,6,3,domin,BR,28249.6339793064
S02,6,4,domin,BR,28340.4268852004
S02,6,5,domin,BR,39939.5888408181
S02,6,6,domin,BR,31559.815525245
S02,6,7,domin,BR,3465.87970883005
S02,6,8,domin,BR,1732.04518284276
S02,6,9,domin,BR,10682.0302114866
S02,6,10,domin,BR,9541.88148747582
S02,6,11,domin,BR,4147.38654798965
S02,6,12,domin,BR,3672.49566181957
S02,6,13,domin,BR,5694.56080445625
S02,6,14,domin,BR,4509.83459379428
S02,6,15,domin,BR,36533.2435061129
S02,6,16,domin,BR,35734.4699992155
S02,6,17,domin,BR,35963.2970735039
S02,6,18,domin,BR,35925.3157803366
S02,1,1,u,BR,53059.1906357562
S02,1,2,u,BR,65578.0409958153
S02,1,3,u,BR,53082.2179190305
S02,1,4,u,BR,53189.2840936152
S02,1,5,u,BR,65598.3159244967
S02,1,6,u,BR,53169.9721170368
S02,1,7,u,BR,15249.3014412931
S02,1,8,u,BR,15245.1004512856
S02,1,9,u,BR,30784.3981473697
S02,1,10,u,BR,30827.6938288976
S02,1,11,u,BR,19225.7235932891
S02,1,12,u,BR,19263.5436098177
S02,1,13,u,BR,18126.4539669519
S02,1,14,u,BR,18130.4232014467
S02,1,15,u,BR,61823.5010391437
S02,1,16,u,BR,61842.8618663254
S02,1,17,u,BR,60904.4005070543
S02,1,18,u,BR,59627.8887874939
S02,2,1,u,BR,40916.3648748537
S02,2,2,u,BR,53433.4668551629
S02,2,3,u,BR,40927.400781169
S02,2,4,u,BR,40994.3451336365
S02,2,5,u,BR,53445.4218620362
S02,2,6,u,BR,40985.1576640745
S02,2,7,u,BR,10604.0625968086
S02,2,8,u,BR,10637.0020485393
S02,2,9,u,BR,25748.3305984946
S02,2,10,u,BR,25756.2223130181
S02,2,11,u,BR,15861.0846872294
S02,2,12,u,BR,15870.7281150525
S02,2,13,u,BR,15961.4310404306
S02,2,14,u,BR,15968.7117795051
S02,2,15,u,BR,54285.4460977804
S02,2,16,u,BR,54310.5771639942
S02,2,17,u,BR,53803.6396316092
S02,2,18,u,BR,52798.2886701848
S02,3,1,u,BR,65487.9147748308
S02,3,2,u,BR,79624.3974461268
S02,3,3,u,BR,65509.0966820677
S02,3,4,u,BR,65687.8160135447
S02,3,5,u,BR,79649.3357586761
S02,3,6,u,BR,65666.2833703922
S02,3,7,u,BR,19431.1772664179
S02,3,8,u,BR,19416.9652822431
S02,3,9,u,BR,38374.572631547
S02,3,10,u,BR,38387.7841257855
S02,3,11,u,BR,24720.4422967251
S02,3,12,u,BR,24732.0125570375
S02,3,13,u,BR,24712.3346186953
S02,3,14,u,BR,24721.2756710562
S02,3,15,u,BR,78725.2026604257
S02,3,16,u,BR,78748.1511584828
S02,3,17,u,BR,74948.0302622527
S02,3,18,u,BR,73472.6942744229
S02,4,1,u,BR,41360.8408061534
S02,4,2,u,BR,52180.1009362183
S02,4,3,u,BR,41370.7725374719
S02,4,4,u,BR,41489.8979606302
S02,4,5,u,BR,52195.8819261683
S02,4,6,u,BR,41474.5407687149
S02,4,7,u,BR,10957.8332469773
S02,4,8,u,BR,10979.0156102429
S02,4,9,u,BR,23784.4010899496
S02,4,10,u,BR,23787.585146625
S02,4,11,u,BR,15233.8004618161
S02,4,12,u,BR,15239.0735999958
S02,4,13,u,BR,15161.2549788062
S02,4,14,u,BR,15169.8862643565
S02,4,15,u,BR,52642.0518224592
S02,4,16,u,BR,52668.1406036477
S02,4,17,u,BR,51910.3911372583
S02,4,18,u,BR,50948.2689804828
S02,5,1,u,BR,40281.9075382698
S02,5,2,u,BR,50693.4187472634
S02,5,3,u,BR,40309.474276218
S02,5,4,u,BR,40426.7757039512
S02,5,5,u,BR,50716.8162203881
S02,5,6,u,BR,40402.9213741597
S02,5,7,u,BR,10969.9321864396
